A000 BASIC_COLD_START
B7AD BASIC_VAL
B7EB BASIC_GETADR
B7F7 BASIC_FACSIZ
B80D BASIC_PEEK
B824 BASIC_POKE
B82D BASIC_WAIT
B849 BASIC_ROUND
B850 BASIC_NEGFAC
B853 BASIC_FSUB
B862 BASIC_FSUBT
B867 BASIC_FADD
B86A BASIC_FADDT
B947 BASIC_NEGOP
B97E BASIC_OVERR
B983 BASIC_MULSHF
B9BC BASIC_LOGCN1
B9C1 BASIC_LOGPOL
B9D6 BASIC_SQRHF
B9DB BASIC_SQR2
B9E0 BASIC_NEGHLF
B9E5 BASIC_LOG2
B9EA BASIC_LOG
BA28 BASIC_FMULT
BA30 BASIC_FMULTT
BA59 BASIC_MLTPLY
BA8C BASIC_ARGCON
BAB7 BASIC_TSTSGN
BAE2 BASIC_MUL10
BAF9 BASIC_FLT10
BAFE BASIC_DIV10
BB0F BASIC_FDIV
BB14 BASIC_FDIVT
BB8A BASIC_DZERR
BBA2 BASIC_MOVFM
BBC7 BASIC_MOV2F
BBCA BASIC_MOV1F
BBD0 BASIC_MOVVF
BBFC BASIC_MOVFA
BC0C BASIC_MOVAF
BC1B BASIC_ROUND2
BC2B BASIC_SIGN
BC39 BASIC_SGN
BC58 BASIC_ABS
BC5B BASIC_FCOMP
BC9B BASIC_QINT
BCCC BASIC_INT
BCF3 BASIC_FIN
BDB3 BASIC_N999
BDB8 BASIC_N99999
BDBD BASIC_BILLION
BDC2 BASIC_INPRT
BDCD BASIC_LINPRT
BDDD BASIC_FOUT
BE68 BASIC_FOUTIM
BF11 BASIC_HALF
BF16 BASIC_INTCNV
BF3A BASIC_TIMCNV
BF71 BASIC_SQR
BF78 BASIC_FPWRA
BF7B BASIC_FPWRT
BFB4 BASIC_NEGFAC2
BFBF BASIC_EXPCON
BFC4 BASIC_EXPPOL
BFE8 BASIC_FLT1
BFED BASIC_EXP
